release_date,date_info,name,place,address,latitude,longitude,description,source_url
2026年03月13日,2026年3月15日,セルフカフェ渋谷神南店,セルフカフェ渋谷神南店,東京都渋谷区神南１ー１９ー１４クリスタルポイントB２階,None,None,東京都渋谷区にオープンしたセルフカフェ。電源・Wi-Fi完備、時間無制限で利用可能。,https://prtimes.jp/main/html/rd/p/000000939.000045400.html
2026年03月13日,2026年4月1日,長岡生姜醤油のタレ,,,,,新潟・長岡生姜醤油ラーメンの味が万能調味料に。4月1日発売,https://prtimes.jp/main/html/rd/p/000000007.000121366.html
2026年03月13日,2026年3月21日（土）10:30 ～ 15:00,学生と試食・先行販売会,ぽんしゅ館 長岡驛店 特設会場（JR長岡駅構内）,新潟県長岡市城内町１丁目６１１−１ 長岡駅ビル CoCoLo長岡 本館 2階,,,アレンジレシピを考案した学生と試食・先行販売会をぽんしゅ館 長岡驛店で行います。,https://prtimes.jp/main/html/rd/p/000000007.000121366.html
2026年03月13日,"2026年3月20日（金）～3月22日（日）
2026年3月27日（金）～3月29日（日）",揚げ物日替わりスーパーセール,全国のセブン-イレブン店舗,,,,セブン-イレブンで人気の揚げ物をお得な価格で提供する週末限定のセール,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月20日（金）,ななチキ,全国のセブン-イレブン店舗,,,,11種類のスパイスをブレンドした人気のチキン,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月21日（土）,ザクチキ（魅惑のうま辛）,全国のセブン-イレブン店舗,,,,ザクザクした食感が特徴のうま辛チキン,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月22日（日）,揚げ鶏,全国のセブン-イレブン店舗,,,,衣の薄さにこだわった鶏肉本来の旨味を引き立てる揚げ鶏,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月27日（金）,ささみ揚げ（梅しそ）,全国のセブン-イレブン店舗,,,,大葉と梅のさっぱりとした揚げ物,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月28日（土）,アメリカンドッグ,全国のセブン-イレブン店舗,,,,外はサクッと、中はしっとりとした生地のアメリカンドッグ,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
2026年03月13日,2026年3月29日（日）,お店で揚げたカレーパン,全国のセブン-イレブン店舗,,,,外はサクサク、中はフワッとした食感のカレーパン,https://prtimes.jp/main/html/rd/p/000000759.000155396.html
